MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
DELL,8go,ddr4,intel,i5,10,:inteluhdgraphics,,256.0,ssd,,noir,1.35,3pouce,"4,800.00 Dhs",0 out of 5
Hp,1,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.8,,"2,490.00 Dhs",3.6 out of 5
DELL,8go,ddr4,intel,i5,6,,,256.0,ssd,,noir,1.6,,"2,900.00 Dhs",0 out of 5
Microsoft,31,ddr4,intel,i7,10,,,,ssd,,gris,1.9,"15""","10,999.00 Dhs",0 out of 5
Hp,16go,,intel,i5,6,résolutionmaximum(hdmi)deintégrée:4096x2304pixels,,512.0,ssd,,noir,1.5,6cm,"3,099.00 Dhs",0 out of 5
Hp,8,ddr4,intel,i5,6,.intelhdgraphics520,,,hdd,,gris,,,"2,599.00 Dhs",5 out of 5
Hp,16go,ddr4,intel,i5,8,:inteluhdgraphics620,,256.0,ssd,,argent,2,14pouce,"3,900.00 Dhs",0 out of 5
Lenovo,2,ddr4,intel,i5,5,,,512.0,ssd,,noir,1.6,"14""","3,699.00 Dhs",2 out of 5
Lenovo,1,,intel,i7,10,,,,ssd,,gris,0.1,"6""","9,200.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,10,:inteluhdgraphics,,512.0,ssd,,noirgris,2.6,3pouce,"7,899.00 Dhs",0 out of 5
DELL,8go,,intel,i5,7,,,,,,noir,1.36,,"3,300.00 Dhs",4 out of 5
DELL,16go,ddr4,intel,i5,11,:intelirisxegraphics,,512.0,ssd,,grissidéral,1.24,,"6,699.00 Dhs",0 out of 5
DELL,16go,,intel,i5,4,nombred'affichagesprisenchargeparlaintégrée:3,,,hdd,7200000.0,noir,1.81,6cm,"2,199.00 Dhs",0 out of 5
Lenovo,4,ddr4,intel,i5,4,:intelhdgraphics5500,,,hdd,320.0,noir,1.42,8cm,"1,999.00 Dhs",0 out of 5
Acer,8go,ddr4,intel,i5,8,,,,ssd,,grisclaire,1.23,"3""","4,599.00 Dhs",0 out of 5
Hp,16gb,,intel,i7,13,:intel®iris®xᵉ,,512.0,ssd,,,1.3,,"21,295.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noir,2,"14""","1,999.00 Dhs",2.3 out of 5
Hp,16go,ddr4,intel,i5,6,:intel®hdgraphics520,,,,,,1,,"7,500.00 Dhs",3.7 out of 5
Hp,32go,ddr4,intel,i5,8,intégrée:oui,,256.0,ssd,256.0,argent,1.48,"14""","3,950.00 Dhs",5 out of 5
Lenovo,50,ddr3,intel,i5,5,,,,,,noir,1.5,"14""","2,350.00 Dhs",0 out of 5
Lenovo,8go,ddr4,intel,i5,10,,,,ssd,,noirblack,1,"6""","4,999.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,6,:intel®hdgraphics,,256.0,ssd,,noir,1.8,,"2,399.00 Dhs",3.6 out of 5
DELL,16go,,,i5,,,,,,256.0,noir,1.5,,"3,099.00 Dhs",0 out of 5
