MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,8go,ddr4,intel,i7,6.0,contrôleur graphique : intel hd graphics 520,,256.0,ssd,,argentetnoir,1.6,,"2,735.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,5.0,,,256.0,ssd,,gris,1.5,,"2,300.00 Dhs",0 out of 5
Infinix,16go,,intel,i7,10.0,,,512.0,ssd,,vert,":1,48kg",14pouce,"7,900.00 Dhs",0 out of 5
Lenovo,4gb,ddr4,intel,i3,10.0,carte graphique : intel® uhd 620,1000.0,,hdd,,grisfer,1.85,,"3,299.00 Dhs",3.9 out of 5
Lenovo,4gb,ddr4,intel,,4.0,carte graphique: intel uhd graphics 600,1000.0,,hdd,,abyssblue,1.5,"6""","2,750.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,8.0, : intel uhd graphics,,512.0,ssd,,gris,2.6,14pouce,"5,999.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6.0,,,256.0,ssd,,,1.28,,"2,399.00 Dhs",0 out of 5
DELL,32go,ddr3,intel,i5,6.0,nombre d'affichages pris en charge par la carte graphique intégrée	:   3,,256.0,ssd,7200000.0,noir,1.81,6cm,"3,399.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6.0,,,,,,,2,,"2,350.00 Dhs",0 out of 5
Lenovo,8go,ddr3,intel,i5,4.0,carte graphique : intégrée - intel hd graphics 4600,,,,500.0,noir,2.5,,"2,299.00 Dhs",5 out of 5
Hp,32,ddr4,intel,i7,11.0,,,512.0,ssd,,argent,2.76,,"22,795.00 Dhs",0 out of 5
Lenovo,16go,,,,,description de la carte graphique    :     intégrée,,256.0,ssd,,noir,1,14pouce,"3,999.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,256.0,ssd,7200000.0,noiretargent,2,"14""","1,899.00 Dhs",0 out of 5
Lenovo,8gb,ddr4,amd,3,3.0,,,512.0,ssd,,gris,1.9,,"4,550.00 Dhs",0 out of 5
Hp,00go,ddr3,intel,i5,4.0,carte graphique :  intel hd graphics,,,,,noiretargent,1.5,"6""","2,799.00 Dhs",0 out of 5
Microsoft,8go,ddr4,intel,i5,10.0,,,128.0,ssd,,gris,1.1,cm,"7,490.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,128.0,ssd,,noir,1.95,,"1,760.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i5,6.0,,,,,500.0,,2,"14""","2,550.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i5,6.0,contrôleur graphique : intel hd graphics 520,,,,,noir,1.6,,"2,499.00 Dhs",4 out of 5
Lenovo,,,,,,,,,,,noir,1.8,,"2,299.00 Dhs",0 out of 5
Lenovo,4gb,ddr4,amd,3,3.0,carte graphique : amd radeon,1000.0,,hdd,,noir,1.6,,"2,999.00 Dhs",0 out of 5
Hp,8gb,,intel,i7,7.0,carte graphique :  intel® hd 260,,256.0,ssd,,argent,1.29,"3""","3,899.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i5,6.0,contrôleur graphique : intel hd graphics 520,,240.0,ssd,,argentnoir,1.6,,"2,390.00 Dhs",4 out of 5
Lenovo,,,,,,,,,,,noir,1.8,,"2,299.00 Dhs",0 out of 5
DELL,8go,,intel,i5,6.0,,,,,,noir,1.36,,"3,999.00 Dhs",0 out of 5
DELL,4go,ddr3,intel,i3,4.0,: intel hd graphics family,,128.0,ssd,,noir,2.42,6pouce,"1,590.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,6.0,,,512.0,ssd,,gris,2,,"3,490.00 Dhs",5 out of 5
Asus,4gb,ddr4,intel,,4.0,carte graphique  intel® uhd 600,1000.0,,hdd,,noir,1,"6""","2,440.00 Dhs",0 out of 5
DELL,8go,ddr4,intel,i5,10.0,: intel uhd graphics,,256.0,ssd,,noir,1.35,3pouce,"4,800.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.8,,"2,490.00 Dhs",3.6 out of 5
DELL,8go,ddr4,intel,i5,6.0,,,256.0,ssd,,noir,1.6,,"2,900.00 Dhs",0 out of 5
Microsoft,16go,ddr4,intel,i7,10.0,,,,ssd,,gris,1.9,"15""","10,999.00 Dhs",0 out of 5
Hp,16go,,,,,résolution maximum (hdmi) de carte graphique intégrée : 	4096 x 2304 pixels,,512.0,ssd,,noir,1.5,6cm,"3,099.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,hdd,,gris,,,"2,599.00 Dhs",5 out of 5
Hp,16go,ddr4,intel,i5,8.0, : intel uhd graphics 620,,256.0,ssd,,argent,2,14pouce,"3,900.00 Dhs",0 out of 5
Lenovo,16go,ddr4,intel,i5,5.0,,,512.0,ssd,,noir,1.6,"14""","3,699.00 Dhs",2 out of 5
Lenovo,16gb,,intel,i7,10.0,,,,ssd,,gris,0.1,"6""","9,200.00 Dhs",0 out of 5
Hp,32go,ddr4,intel,i7,10.0, : intel uhd graphics,,512.0,ssd,,noirgris,2.6,3pouce,"7,899.00 Dhs",0 out of 5
DELL,8go,,intel,i5,7.0,,,,,,noir,1.36,,"3,300.00 Dhs",4 out of 5
DELL,16go,ddr4,intel,i5,11.0,carte graphique: intel iris xe graphics,,512.0,ssd,,grissidéral,1.24,,"6,699.00 Dhs",0 out of 5
DELL,8go,,intel,,5.0,nombre d'affichages pris en charge par la carte graphique intégrée :   3,,,hdd,7200000.0,noir,1.81,6cm,"2,199.00 Dhs",0 out of 5
Lenovo,8go,ddr4,,,,carte graphique : intel hd graphics 5500,,,hdd,320.0,noir,1.42,8cm,"1,999.00 Dhs",0 out of 5
Acer,8go,ddr4,intel,i5,8.0,,,,ssd,,grisclaire,1.23,"3""","4,599.00 Dhs",0 out of 5
Hp,16gb,,intel,i7,13.0,carte graphique :  intel® iris® xᵉ,,512.0,ssd,,,1.3,,"21,295.00 Dhs",0 out of 5
Hp,4go,ddr3,intel,i5,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,500.0,noir,2,"14""","1,999.00 Dhs",2.3 out of 5
Hp,16go,ddr4,intel,i5,6.0,carte graphique : intel® hd graphics 520,,,,,,1,,"7,500.00 Dhs",3.7 out of 5
Hp,8go,ddr4,intel,i5,8.0,carte graphique intégrée  : oui,,256.0,ssd,256.0,argent,1.48,"14""","3,950.00 Dhs",5 out of 5
